Wall time,Step,Value
1719144522.548408,2499,0.17001022398471832
1719144668.6602511,4999,0.23166315257549286
1719144814.618963,7499,0.0547923818230629
1719144958.9510367,9999,0.04534760117530823
1719145102.1964984,12499,0.033763691782951355
1719145245.2482371,14999,0.029850313439965248
1719145388.9897351,17499,0.0256607998162508
1719145535.5588088,19999,0.025801584124565125
1719145678.2087762,22499,0.025396326556801796
1719145822.087862,24999,0.0261994656175375
1719145968.0173852,27499,0.032406169921159744
1719146113.6737669,29999,0.024818241596221924
1719146257.2014763,32499,0.023516397923231125
1719146400.66823,34999,0.0254826582968235
1719146544.9457822,37499,0.024118531495332718
1719146692.9420373,39999,0.023722536861896515
1719146840.4060082,42499,0.025962915271520615
1719146990.6801414,44999,0.02322673611342907
1719147144.9124768,47499,0.024281274527311325
1719147296.3036752,49999,0.17249062657356262
1719147443.737772,52499,0.023666862398386
1719147589.142585,54999,0.14233940839767456
1719147733.2627175,57499,0.08480846136808395
1719147878.2658389,59999,0.023171789944171906
1719148022.5344439,62499,0.028733160346746445
1719148166.532536,64999,0.028056634590029716
1719148313.1492474,67499,0.13555994629859924
1719148458.5169015,69999,0.02876717783510685
1719148604.0968874,72499,0.02292495034635067
1719148748.439857,74999,0.022972701117396355
1719148892.553552,77499,0.02309737168252468
1719149036.5885384,79999,0.02275957353413105
1719149180.5791636,82499,0.022739281877875328
1719149324.724311,84999,0.047204215079545975
1719149469.465444,87499,0.0348801463842392
1719149613.3597906,89999,0.08654510974884033
1719149757.2246165,92499,0.04074516519904137
1719149903.7856493,94999,0.02441278286278248
1719150048.6577766,97499,0.22911877930164337
1719150194.131099,99999,0.09354174137115479
1719150338.2780318,102499,0.3404104709625244
1719150483.9593654,104999,0.0779065266251564
1719150628.0321217,107499,0.04029792919754982
1719150772.384411,109999,1.0700805187225342
1719150917.151323,112499,0.12667635083198547
1719151063.5327234,114999,1.565670371055603
1719151208.863728,117499,0.2011430263519287
1719151354.3118484,119999,0.1846424788236618
1719151500.442406,122499,0.6186169385910034
1719151647.2128358,124999,0.18895041942596436
