Wall time,Step,Value
1719052824.8555534,2499,0.10686519742012024
1719052969.5330305,4999,0.09334976226091385
1719053117.1734052,7499,0.048594798892736435
1719053261.3095496,9999,0.03896654024720192
1719053401.0441241,12499,0.04167238995432854
1719053546.3989823,14999,0.038645341992378235
1719053685.411479,17499,0.040384046733379364
1719053826.0778856,19999,0.03238798677921295
1719053968.1552036,22499,0.04299872741103172
1719054110.032489,24999,0.030505239963531494
1719054253.5365896,27499,0.040199145674705505
1719054394.8355677,29999,0.029817352071404457
1719054536.2810006,32499,0.03478940576314926
1719054674.6438472,34999,0.03189314901828766
1719054817.992385,37499,0.03163759037852287
1719054959.4018815,39999,0.03362324461340904
1719055101.2332964,42499,0.02944321371614933
1719055243.1507945,44999,0.03133111819624901
1719055385.7736397,47499,0.029353473335504532
1719055525.7106106,49999,0.02893332578241825
1719055668.5020874,52499,0.028621725738048553
1719055812.3901043,54999,0.028631549328565598
1719055957.0137272,57499,0.028845803812146187
1719056135.6836808,59999,0.029830563813447952
1719056285.441422,62499,0.028069602325558662
1719056430.0038013,64999,0.028115706518292427
1719056572.414217,67499,0.0278546791523695
1719056714.9712229,69999,0.02781989984214306
1719056856.9669337,72499,0.028234753757715225
1719056998.1355174,74999,0.027923526242375374
1719057139.7613199,77499,0.027630750089883804
1719057285.5299716,79999,0.027638448402285576
1719057427.6660004,82499,0.027599118649959564
1719057566.487565,84999,0.04000163823366165
1719057708.6341124,87499,0.02761015295982361
1719057847.9886875,89999,0.027836017310619354
1719057987.4641864,92499,0.027826983481645584
1719058127.9378376,94999,0.027647851034998894
1719058269.4370394,97499,0.02755855768918991
1719058417.4193454,99999,0.027598654851317406
1719058559.7082427,102499,0.027700558304786682
1719058727.0864496,104999,0.02777191437780857
1719058963.641803,107499,0.028018128126859665
1719059104.06427,109999,0.02824263647198677
1719059293.422125,112499,0.028943851590156555
1719059434.9793537,114999,0.02762860804796219
1719059575.351504,117499,0.027832170948386192
1719059717.0338173,119999,0.0277297031134367
1719059859.8609624,122499,0.027721131220459938
1719060006.3975506,124999,0.028192786499857903
